Modality,Status
Intraday 30-call-GB,
Day-Ahead CH,
Intraday CH IDA1,
Intraday CH IDA2,
Day-Ahead SDAC,
Intraday IDA1,
Intraday IDA2,
Intraday IDA3,
Day-Ahead GB,
Intraday GB IDA1,
Intraday GB IDA2,
